Timestamp,Symbol,Open,High,Low,Close,Volume,atr,sma,top2,top1,bott1,bott2,sell_arrow,buy_arrow
2023-08-01 09:15:00,ICICIBANK,1001.65,1003.35,1001.1,1001.7,462482,2.25,,,,,,,
2023-08-01 09:20:00,ICICIBANK,1001.65,1002.25,1000.6,1000.7,62802,2.1299999999999955,,,,,,,
2023-08-01 09:25:00,ICICIBANK,1000.65,1000.65,999.2,999.95,76740,1.993999999999983,,,,,,,
2023-08-01 09:30:00,ICICIBANK,999.95,1000.85,999.05,999.75,103934,1.9552,,,,,,,
2023-08-01 09:35:00,ICICIBANK,999.75,999.85,998.5,999.35,103024,1.8341600000000047,,,,,,,
2023-08-01 09:40:00,ICICIBANK,999.1,999.35,998.4,999.3,94673,1.6573280000000128,,,,,,,
2023-08-01 09:45:00,ICICIBANK,999.05,1000.95,998.45,1000.0,208534,1.8258624000000103,,,,,,,
2023-08-01 09:50:00,ICICIBANK,999.95,1000.8,999.0,999.0,130836,1.8206899199999993,,,,,,,
2023-08-01 09:55:00,ICICIBANK,999.0,999.45,998.1,998.8,146971,1.726551936000004,,,,,,,
2023-08-01 10:00:00,ICICIBANK,998.5,999.5,997.6,998.5,141885,1.7612415487999986,,,,,,,
2023-08-01 10:05:00,ICICIBANK,998.5,1000.25,998.3,1000.25,127135,1.798993239040008,,,,,,,
2023-08-01 10:10:00,ICICIBANK,1000.0,1000.6,999.75,1000.0,130960,1.6091945912320111,,,,,,,
2023-08-01 10:15:00,ICICIBANK,1000.05,1000.7,999.6,1000.15,79843,1.5073556729856137,,,,,,,
2023-08-01 10:20:00,ICICIBANK,999.9,1000.2,999.6,999.85,66310,1.3258845383884956,,,,,,,
2023-08-01 10:25:00,ICICIBANK,999.75,1000.05,999.0,1000.05,42687,1.2707076307107874,,,,,,,
2023-08-01 10:30:00,ICICIBANK,1000.0,1000.35,999.3,1000.05,205973,1.2265661045686438,,,,,,,
2023-08-01 10:35:00,ICICIBANK,1000.05,1000.3,999.0,999.15,37627,1.241252883654906,,,,,,,
2023-08-01 10:40:00,ICICIBANK,999.15,999.4,998.5,998.6,55511,1.1730023069239202,,,,,,,
2023-08-01 10:45:00,ICICIBANK,998.6,998.9,998.0,998.05,65510,1.1184018455391316,,,,,,,
2023-08-01 10:50:00,ICICIBANK,998.05,998.7,997.4,997.95,146612,1.154721476431319,999.5575000000001,1002.5805608252973,1001.425839348866,997.6891606511342,996.5344391747029,,
2023-08-01 10:55:00,ICICIBANK,998.0,999.05,997.7,998.85,188120,1.193777181145037,999.415,1002.5403086602377,1001.3465314790926,997.4834685209073,996.2896913397623,,
2023-08-01 11:00:00,ICICIBANK,998.45,999.25,998.0,998.5,100796,1.2050217449160296,999.305,1002.4597469281902,1001.2547251832741,997.3552748167258,996.1502530718097,,
2023-08-01 11:05:00,ICICIBANK,998.5,998.55,996.15,997.0,232506,1.4440173959328193,999.1575,1002.9379375425522,1001.4939201466193,996.8210798533808,995.3770624574479,,
2023-08-01 11:10:00,ICICIBANK,997.0,997.6,996.8,997.3,87915,1.315213916746269,999.0350000000001,1002.4782300340418,1001.1630161172956,996.9069838827046,995.5917699659584,,
2023-08-01 11:15:00,ICICIBANK,997.25,997.5,996.45,997.05,78819,1.2621711333970063,998.9199999999998,1002.2243640272333,1000.9621928938362,996.8778071061635,995.6156359727664,,
2023-08-01 11:20:00,ICICIBANK,997.05,997.1,995.75,995.75,64645,1.2797369067176096,998.7425,1002.0928512217866,1000.813114315069,996.6718856849309,995.3921487782133,,
2023-08-01 11:25:00,ICICIBANK,995.9,997.0,995.75,996.0,91115,1.2737895253740878,998.5424999999999,1001.8772809774292,1000.6034914520552,996.4815085479446,995.2077190225706,,
2023-08-01 11:30:00,ICICIBANK,996.0,996.5,995.15,995.95,91972,1.289031620299275,998.39,1001.7646847819435,1000.4756531616442,996.3043468383557,995.0153152180565,,
2023-08-01 11:35:00,ICICIBANK,995.5,996.8,995.5,995.95,65472,1.291225296239411,998.2475000000001,1001.6279278255548,1000.3367025293154,996.1582974706847,994.8670721744453,,
2023-08-01 11:40:00,ICICIBANK,995.95,998.05,995.7,997.9,130663,1.5029802369915106,998.2175000000001,1002.1523022604439,1000.6493220234523,995.7856779765478,994.2826977395563,,
2023-08-01 11:45:00,ICICIBANK,998.0,998.25,996.25,996.45,217428,1.6023841895932085,998.0274999999999,1002.2225418083549,1000.6201576187617,995.4348423812381,993.832458191645,,
2023-08-01 11:50:00,ICICIBANK,996.45,996.8,995.8,996.2,18397,1.4819073516745669,997.8375,1001.717133446684,1000.2352260950095,995.4397739049905,993.957866553316,,
2023-08-01 11:55:00,ICICIBANK,996.2,996.5,995.55,996.35,18134,1.3755258813396627,997.6475,1001.2486267573473,999.8731008760076,995.4218991239925,994.0463732426527,,
2023-08-01 12:00:00,ICICIBANK,996.35,996.45,995.3,996.0,78434,1.3304207050717485,997.4550000000002,1000.938041405878,999.6076207008063,995.3023792991941,993.9719585941223,,
2023-08-01 12:05:00,ICICIBANK,996.05,996.3,994.6,995.1,99731,1.404336564057385,997.2075000000001,1000.8840531247023,999.479716560645,994.9352834393552,993.5309468752979,,
2023-08-01 12:10:00,ICICIBANK,995.1,995.8,994.65,995.1,231292,1.3534692512459037,996.9599999999998,1000.5033824997615,999.1499132485156,994.770086751484,993.4166175002381,,
2023-08-01 12:15:00,ICICIBANK,995.45,996.85,994.6,996.75,123382,1.532775400996723,996.8399999999999,1000.8528059998093,999.3200305988127,994.3599694011872,992.8271940001905,,
2023-08-01 12:20:00,ICICIBANK,996.75,996.95,996.0,996.1,177049,1.4162203207973876,996.7149999999999,1000.4226647998474,999.0064444790501,994.4235555209498,993.0073352001524,,
2023-08-01 12:25:00,ICICIBANK,996.4,996.45,992.55,992.55,393288,1.9129762566379283,996.4399999999999,1001.448171839878,999.5351955832401,993.3448044167598,991.4318281601219,,
2023-08-01 12:30:00,ICICIBANK,992.6,995.3,992.55,994.3,387625,2.0803810053103424,996.2574999999999,1001.7039374719025,999.623556466592,992.8914435334078,990.8110625280974,,
2023-08-01 12:35:00,ICICIBANK,994.3,994.4,993.05,993.6,123756,1.9343048042482787,995.9950000000001,1001.0590099775221,999.1247051732738,992.8652948267264,990.9309900224781,,
2023-08-01 12:40:00,ICICIBANK,993.9,994.4,993.55,993.9,35577,1.7174438433986277,995.765,1000.2612679820176,998.543824138619,992.986175861381,991.2687320179824,,
2023-08-01 12:45:00,ICICIBANK,993.95,994.45,993.05,993.05,65667,1.6539550747189204,995.5674999999999,999.8975543856141,998.2435993108951,992.8914006891047,991.2374456143857,,
2023-08-01 12:50:00,ICICIBANK,993.05,994.4,992.7,994.3,304872,1.6631640597751227,995.4175000000001,999.7716635084914,998.1084994487163,992.726500551284,991.0633364915088,,
2023-08-01 12:55:00,ICICIBANK,994.05,994.9,992.55,992.95,315325,1.800531247820103,995.2125,999.926290806793,998.125759558973,992.299240441027,990.498709193207,,
2023-08-01 13:00:00,ICICIBANK,992.95,993.1,991.2,991.7,569480,1.8204249982560778,995.01,999.7758726454344,997.9554476471783,992.0645523528217,990.2441273545655,,
2023-08-01 13:05:00,ICICIBANK,991.8,992.4,990.5,992.25,509077,1.8363399986048579,994.8225,999.6300381163475,997.7936981177427,991.8513018822573,990.0149618836525,,
2023-08-01 13:10:00,ICICIBANK,992.2,993.3,991.75,993.25,95461,1.7790719988838772,994.6875,999.345110493078,997.5660384941941,991.8089615058059,990.029889506922,,
2023-08-01 13:15:00,ICICIBANK,993.5,993.5,992.35,992.85,126530,1.6532575991070975,994.5325,998.8607283944624,997.2074707953553,991.8575292046447,990.2042716055377,,
2023-08-01 13:20:00,ICICIBANK,992.7,994.0,992.3,993.1,242387,1.6626060792856872,994.2924999999999,998.6452027155698,996.9825966362841,991.6024033637157,989.93979728443,,
