Timestamp,Symbol,Open,High,Low,Close,Volume,atr,sma,top2,top1,bott1,bott2
2023-08-01 09:15:00,SBIN,620.2,620.8,618.85,619.75,323488,1.9499999999999318,,,,,
2023-08-01 09:20:00,SBIN,619.6,619.9,618.9,619.3,186768,1.7599999999999454,,,,,
2023-08-01 09:25:00,SBIN,619.4,619.45,619.0,619.25,158188,1.4979999999999656,,,,,
2023-08-01 09:30:00,SBIN,619.2,620.2,619.0,619.8,152087,1.4383999999999817,,,,,
2023-08-01 09:35:00,SBIN,619.6,619.75,618.65,618.75,134693,1.37071999999999,,,,,
2023-08-01 09:40:00,SBIN,618.65,618.75,617.75,618.5,171488,1.296575999999992,,,,,
2023-08-01 09:45:00,SBIN,618.45,619.0,618.4,618.7,100436,1.1572607999999982,,,,,
2023-08-01 09:50:00,SBIN,618.75,618.95,618.5,618.55,96515,1.0158086400000077,,,,,
2023-08-01 09:55:00,SBIN,618.55,618.9,618.15,618.9,111071,0.9626469120000062,,,,,
2023-08-01 10:00:00,SBIN,618.95,619.25,618.45,618.65,134882,0.9301175295999959,,,,,
2023-08-01 10:05:00,SBIN,618.9,620.2,618.65,619.7,174010,1.0540940236800105,,,,,
2023-08-01 10:10:00,SBIN,619.75,619.8,619.2,619.65,99933,0.9632752189439903,,,,,
2023-08-01 10:15:00,SBIN,619.5,619.75,619.35,619.6,71876,0.8506201751551876,,,,,
2023-08-01 10:20:00,SBIN,619.6,619.6,618.8,619.05,97074,0.8404961401241638,,,,,
2023-08-01 10:25:00,SBIN,618.9,619.2,618.25,619.05,129818,0.8623969120993402,,,,,
2023-08-01 10:30:00,SBIN,619.0,619.0,618.0,618.4,162415,0.8899175296794721,,,,,
2023-08-01 10:35:00,SBIN,618.25,618.45,617.05,617.25,197458,0.9919340237435958,,,,,
2023-08-01 10:40:00,SBIN,617.3,617.5,617.1,617.45,117193,0.8735472189948721,,,,,
2023-08-01 10:45:00,SBIN,617.45,617.45,616.6,616.9,256886,0.8688377751959023,,,,,
2023-08-01 10:50:00,SBIN,616.85,617.0,616.1,616.6,195187,0.8750702201567174,618.6899999999999,620.9809338363702,620.1058636162135,617.2741363837864,616.3990661636296
2023-08-01 10:55:00,SBIN,616.5,617.0,616.3,616.7,159962,0.8400561761253831,618.5375,620.7367670690962,619.8967108929709,617.1782891070292,616.3382329309038
2023-08-01 11:00:00,SBIN,616.8,616.85,616.05,616.2,99592,0.8320449409003202,618.3825,620.560793655277,619.7287487143768,617.0362512856233,616.204206344723
2023-08-01 11:05:00,SBIN,616.15,616.5,616.1,616.3,60556,0.7456359527202516,618.235,620.1870749242216,619.4414389715014,617.0285610284986,616.2829250757784
2023-08-01 11:10:00,SBIN,616.5,616.5,616.3,616.5,47678,0.6365087621762104,618.0699999999999,619.7363799393772,619.0998711772011,617.0401288227988,616.4036200606226
2023-08-01 11:15:00,SBIN,616.45,616.5,616.2,616.3,37568,0.5692070097409593,617.9475,619.4376839515019,618.8684769417608,617.0265230582391,616.4573160484981
2023-08-01 11:20:00,SBIN,616.35,616.4,615.5,615.75,156950,0.635365607792763,617.81,619.4733871612013,618.8380215534087,616.7819784465912,616.1466128387985
2023-08-01 11:25:00,SBIN,615.75,616.4,615.55,615.95,96320,0.678292486234215,617.6725,619.4482697289612,618.769977242727,616.575022757273,615.8967302710388
2023-08-01 11:30:00,SBIN,615.95,616.0,615.5,615.8,57946,0.642633988987372,617.535,619.2174157831689,618.5747817941815,616.4952182058184,615.852584216831
2023-08-01 11:35:00,SBIN,615.55,615.95,615.55,615.75,52851,0.5941071911899158,617.3774999999999,618.9328726265352,618.3387654353452,616.4162345646547,615.8221273734647
2023-08-01 11:40:00,SBIN,615.7,615.8,615.15,615.25,73258,0.6052857529519282,617.2075,618.7921381012281,618.1868523482761,616.2281476517238,615.6228618987718
2023-08-01 11:45:00,SBIN,615.5,615.75,615.25,615.6,46307,0.5842286023615426,617.0024999999999,618.5320104809824,617.947781878621,616.0572181213789,615.4729895190175
2023-08-01 11:50:00,SBIN,615.65,615.65,615.2,615.5,38081,0.5573828818892205,616.795,618.254228384786,617.6968455028967,615.8931544971032,615.335771615214
2023-08-01 11:55:00,SBIN,615.55,615.75,615.5,615.7,28137,0.4959063055113764,616.6,617.8982827078288,617.4023764023175,615.7976235976826,615.3017172921712
2023-08-01 12:00:00,SBIN,615.75,615.8,615.05,615.1,82238,0.5467250444091012,616.4025,617.8338261662631,617.287101121854,615.5178988781461,614.971173833737
2023-08-01 12:05:00,SBIN,615.2,615.2,613.1,613.1,229346,0.8573800355272856,616.1049999999999,618.3496209330103,617.492240897483,614.7177591025168,613.8603790669895
2023-08-01 12:10:00,SBIN,613.0,613.5,612.5,613.4,417986,0.8859040284218285,615.855,618.1742967464083,617.2883927179865,614.4216072820135,613.5357032535917
