Timestamp,Symbol,Open,High,Low,Close,Volume,atr,sma,top2,top1,bott1,bott2
2023-08-01 09:15:00,ADANIENT,2504.85,2508.35,2492.95,2504.5,91812,15.400000000000091,,,,,
2023-08-01 09:20:00,ADANIENT,2504.5,2514.0,2500.95,2507.1,85933,14.93000000000011,,,,,
2023-08-01 09:25:00,ADANIENT,2507.65,2507.65,2497.05,2498.2,57473,14.06400000000007,,,,,
2023-08-01 09:30:00,ADANIENT,2499.0,2503.0,2495.1,2499.7,33460,12.831200000000074,,,,,
2023-08-01 09:35:00,ADANIENT,2500.9,2501.65,2495.55,2496.05,19404,11.48496000000004,,,,,
2023-08-01 09:40:00,ADANIENT,2497.45,2497.95,2486.15,2492.95,68843,11.547967999999978,,,,,
2023-08-01 09:45:00,ADANIENT,2492.95,2494.05,2486.35,2487.5,46239,10.778374400000036,,,,,
2023-08-01 09:50:00,ADANIENT,2488.0,2491.35,2481.25,2484.5,38404,10.642699520000011,,,,,
2023-08-01 09:55:00,ADANIENT,2484.8,2487.55,2482.0,2483.0,18021,9.624159616000046,,,,,
2023-08-01 10:00:00,ADANIENT,2483.2,2488.55,2481.2,2482.75,24049,9.16932769280011,,,,,
2023-08-01 10:05:00,ADANIENT,2482.1,2489.65,2482.1,2485.5,17906,8.845462154240124,,,,,
2023-08-01 10:10:00,ADANIENT,2485.55,2485.75,2478.15,2483.0,33897,8.596369723392081,,,,,
2023-08-01 10:15:00,ADANIENT,2483.0,2484.0,2479.0,2482.65,19904,7.877095778713666,,,,,
2023-08-01 10:20:00,ADANIENT,2483.0,2483.5,2475.0,2476.45,19971,8.001676622970933,,,,,
2023-08-01 10:25:00,ADANIENT,2476.45,2479.1,2474.25,2474.25,28147,7.371341298376729,,,,,
2023-08-01 10:30:00,ADANIENT,2474.0,2474.25,2469.35,2471.0,38342,6.877073038701401,,,,,
2023-08-01 10:35:00,ADANIENT,2471.0,2472.5,2468.0,2469.9,20294,6.401658430961122,,,,,
2023-08-01 10:40:00,ADANIENT,2470.2,2470.85,2465.0,2465.2,25990,6.29132674476888,,,,,
2023-08-01 10:45:00,ADANIENT,2465.15,2466.3,2455.4,2461.65,58145,7.213061395815123,,,,,
2023-08-01 10:50:00,ADANIENT,2461.05,2464.5,2457.0,2462.0,23876,7.270449116652099,2483.3925,2502.426535787395,2495.156086670743,2471.6289133292566,2464.3584642126048
2023-08-01 10:55:00,ADANIENT,2462.4,2467.95,2460.35,2467.95,33854,7.336359293321661,2481.565,2500.771588629916,2493.4352293365946,2469.6947706634055,2462.358411370084
2023-08-01 11:00:00,ADANIENT,2467.85,2469.15,2460.25,2462.0,34361,7.649087434657347,2479.31,2499.335310903933,2491.6862234692753,2466.9337765307246,2459.284689096067
2023-08-01 11:05:00,ADANIENT,2462.0,2464.0,2461.0,2462.25,9747,6.719269947725879,2477.5125,2495.103548723146,2488.38427877542,2466.6407212245795,2459.9214512768535
