date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,335.7,337.8,333.2,334.65,403716
2015-01-02 00:00:00+05:30,334.0,346.6,334.0,342.25,1628269
2015-01-05 00:00:00+05:30,343.2,347.9,340.65,344.45,1206820
2015-01-06 00:00:00+05:30,340.9,342.0,327.7,328.75,1457991
2015-01-07 00:00:00+05:30,327.8,336.5,325.55,330.65,1882988
2015-01-08 00:00:00+05:30,335.7,341.8,330.5,340.7,2563503
2015-01-09 00:00:00+05:30,344.0,351.95,339.5,342.65,2879302
2015-01-12 00:00:00+05:30,343.0,343.0,335.55,337.4,1174215
2015-01-13 00:00:00+05:30,340.0,341.0,332.7,334.4,1291592
2015-01-14 00:00:00+05:30,336.0,338.2,327.64,330.3,1306790
2015-01-15 00:00:00+05:30,335.75,345.65,332.65,341.85,1786117
2015-01-16 00:00:00+05:30,340.25,344.8,336.7,339.9,2564358
2015-01-19 00:00:00+05:30,342.5,348.5,340.15,346.35,1543709
2015-01-20 00:00:00+05:30,348.3,356.45,347.4,355.0,3190516
2015-01-21 00:00:00+05:30,355.9,362.25,352.55,360.25,4703615
2015-01-22 00:00:00+05:30,357.0,368.0,355.5,364.45,2303755
2015-01-23 00:00:00+05:30,369.8,374.85,364.45,373.75,2876418
2015-01-27 00:00:00+05:30,376.15,383.2,374.5,380.5,2097895
2015-01-28 00:00:00+05:30,384.0,384.9,364.55,365.95,2462647
2015-01-29 00:00:00+05:30,364.25,369.95,358.2,364.15,2851910
2015-01-30 00:00:00+05:30,367.45,368.2,360.25,363.95,1328189
2015-02-02 00:00:00+05:30,362.0,363.95,354.0,356.65,1479086
2015-02-03 00:00:00+05:30,360.0,366.6,355.5,358.3,1586558
2015-02-04 00:00:00+05:30,360.4,361.2,353.0,355.0,1848761
2015-02-05 00:00:00+05:30,358.0,364.4,353.05,356.4,1094935
2015-02-06 00:00:00+05:30,345.2,346.8,327.0,337.35,3465733
2015-02-09 00:00:00+05:30,333.8,339.6,328.0,329.55,2753473
2015-02-10 00:00:00+05:30,328.0,341.6,323.6,336.45,1215069
2015-02-11 00:00:00+05:30,336.85,339.8,333.6,338.9,1043316
2015-02-12 00:00:00+05:30,342.75,342.75,334.65,338.25,855706
2015-02-13 00:00:00+05:30,339.25,347.3,333.55,345.85,1521114
2015-02-16 00:00:00+05:30,347.25,351.65,344.45,350.6,2448156
2015-02-18 00:00:00+05:30,350.1,354.25,343.25,350.15,2330841
2015-02-19 00:00:00+05:30,373.0,383.95,367.0,373.3,5492008
2015-02-20 00:00:00+05:30,374.9,385.8,370.6,381.65,3065964
2015-02-23 00:00:00+05:30,381.65,384.5,370.65,372.25,976523
2015-02-24 00:00:00+05:30,371.05,373.6,362.65,365.75,548799
2015-02-25 00:00:00+05:30,367.2,372.9,364.0,365.75,659314
2015-02-26 00:00:00+05:30,367.55,367.55,347.75,350.2,1758673
2015-02-27 00:00:00+05:30,354.0,361.2,352.45,359.0,899983
2015-03-02 00:00:00+05:30,377.0,377.0,359.3,369.55,2232316
2015-03-03 00:00:00+05:30,370.6,370.6,364.0,367.0,1453914
2015-03-04 00:00:00+05:30,374.9,375.0,361.0,362.6,1783795
2015-03-05 00:00:00+05:30,363.65,365.95,353.3,354.9,1808297
2015-03-09 00:00:00+05:30,352.0,353.95,338.5,342.75,2908585
2015-03-10 00:00:00+05:30,346.4,350.85,339.0,343.7,2645066
2015-03-11 00:00:00+05:30,344.0,346.9,336.35,339.65,1854857
2015-03-12 00:00:00+05:30,344.7,346.5,342.9,344.0,1750183
2015-03-13 00:00:00+05:30,344.9,345.5,335.55,337.6,2835320
2015-03-16 00:00:00+05:30,340.2,342.0,334.0,338.95,1262141
2015-03-17 00:00:00+05:30,341.1,347.25,340.15,345.8,1775741
2015-03-18 00:00:00+05:30,345.45,345.45,338.2,339.9,1204888
2015-03-19 00:00:00+05:30,343.45,343.75,332.1,336.65,1461568
2015-03-20 00:00:00+05:30,333.95,335.6,326.0,327.35,1912636
2015-03-23 00:00:00+05:30,327.7,329.5,320.1,321.5,954574
2015-03-24 00:00:00+05:30,320.05,323.85,310.55,312.8,2083050
2015-03-25 00:00:00+05:30,316.0,317.8,312.05,316.14,2668863
2015-03-26 00:00:00+05:30,315.0,319.55,304.95,308.75,3682342
2015-03-27 00:00:00+05:30,309.2,318.7,305.45,316.5,1131212
2015-03-30 00:00:00+05:30,319.8,324.95,314.35,324.39,1032105
2015-03-31 00:00:00+05:30,325.8,338.85,321.64,331.55,2604153
2015-04-01 00:00:00+05:30,331.4,338.9,328.6,338.05,1664959
2015-04-06 00:00:00+05:30,339.0,344.4,337.3,341.45,929224
2015-04-07 00:00:00+05:30,341.9,345.85,339.65,342.95,2084925
2015-04-08 00:00:00+05:30,347.0,347.6,343.2,345.4,1109766
2015-04-09 00:00:00+05:30,345.6,346.8,339.75,343.4,1300156
2015-04-10 00:00:00+05:30,344.0,352.5,339.3,351.1,1272284
2015-04-13 00:00:00+05:30,352.95,356.45,347.2,354.65,1504187
2015-04-15 00:00:00+05:30,354.0,354.0,341.7,344.15,1257299
2015-04-16 00:00:00+05:30,348.0,358.0,341.0,348.9,2580149
2015-04-17 00:00:00+05:30,349.0,349.5,338.5,340.5,1147088
2015-04-20 00:00:00+05:30,343.35,343.35,324.14,328.75,1500415
2015-04-21 00:00:00+05:30,330.0,333.35,325.1,327.64,763574
2015-04-22 00:00:00+05:30,328.0,329.9,319.64,328.1,972271
2015-04-23 00:00:00+05:30,331.8,331.8,318.0,319.14,2674416
2015-04-24 00:00:00+05:30,320.39,323.0,315.0,319.95,4296398
2015-04-27 00:00:00+05:30,321.64,323.2,311.5,315.95,1954650
2015-04-28 00:00:00+05:30,318.0,324.8,314.55,322.5,1864985
2015-04-29 00:00:00+05:30,323.8,323.8,315.0,318.45,2143144
2015-04-30 00:00:00+05:30,319.8,319.8,309.0,310.7,3497186
2015-05-04 00:00:00+05:30,316.7,316.7,309.25,312.25,3325718
2015-05-05 00:00:00+05:30,313.89,317.39,310.7,315.75,1893197
2015-05-06 00:00:00+05:30,315.0,315.0,303.1,304.89,1475210
2015-05-07 00:00:00+05:30,301.0,305.0,290.3,295.1,1676241
2015-05-08 00:00:00+05:30,301.0,310.89,301.0,309.35,2461737
2015-05-11 00:00:00+05:30,313.35,324.14,311.8,322.75,2640034
2015-05-12 00:00:00+05:30,322.14,322.14,312.1,313.25,1718725
2015-05-13 00:00:00+05:30,315.0,319.45,311.1,317.85,1086359
2015-05-14 00:00:00+05:30,318.7,319.0,310.0,315.0,1271293
2015-05-15 00:00:00+05:30,317.8,318.1,312.6,313.85,1551686
2015-05-18 00:00:00+05:30,314.6,318.25,311.1,317.35,1724908
2015-05-19 00:00:00+05:30,316.8,316.8,312.2,313.64,854795
2015-05-20 00:00:00+05:30,315.8,316.05,308.0,309.89,2038038
2015-05-21 00:00:00+05:30,308.14,316.39,308.14,315.85,1006706
2015-05-22 00:00:00+05:30,316.45,318.8,314.05,315.35,1322347
2015-05-25 00:00:00+05:30,318.75,319.3,306.3,307.14,1154902
2015-05-26 00:00:00+05:30,307.89,310.0,301.0,308.39,1890323
2015-05-27 00:00:00+05:30,294.0,300.14,290.0,297.89,3146553
2015-05-28 00:00:00+05:30,299.8,304.0,297.39,298.95,1418312
2015-05-29 00:00:00+05:30,300.0,303.2,297.1,301.05,674090
2015-06-01 00:00:00+05:30,302.5,302.5,290.0,290.64,1726843
2015-06-02 00:00:00+05:30,292.5,294.89,285.89,286.8,1481417
2015-06-03 00:00:00+05:30,287.95,288.8,274.95,281.85,1985146
2015-06-04 00:00:00+05:30,282.89,284.85,275.75,282.14,1490882
2015-06-05 00:00:00+05:30,282.5,289.14,280.8,285.64,3365978
2015-06-08 00:00:00+05:30,284.89,284.89,278.7,280.1,1425333
2015-06-09 00:00:00+05:30,279.2,283.0,276.1,281.14,2106460
2015-06-10 00:00:00+05:30,281.0,286.1,279.0,281.89,1819952
2015-06-11 00:00:00+05:30,283.05,283.2,267.75,269.64,2514885
2015-06-12 00:00:00+05:30,267.6,268.5,260.64,266.0,2876676
2015-06-15 00:00:00+05:30,265.5,269.7,262.25,263.95,1940080
2015-06-16 00:00:00+05:30,265.6,272.55,263.0,269.0,1728400
2015-06-17 00:00:00+05:30,275.0,275.89,267.5,268.35,2507616
2015-06-18 00:00:00+05:30,271.25,274.2,268.0,272.55,2739015
2015-06-19 00:00:00+05:30,274.5,274.5,268.0,269.45,2309862
2015-06-22 00:00:00+05:30,272.7,275.75,271.0,273.0,2237706
2015-06-23 00:00:00+05:30,274.45,275.89,271.89,272.45,2070800
2015-06-24 00:00:00+05:30,272.95,273.75,268.89,270.25,1505794
2015-06-25 00:00:00+05:30,271.39,271.39,265.0,265.8,3144042
2015-06-26 00:00:00+05:30,266.0,270.0,266.0,268.6,1073767
2015-06-29 00:00:00+05:30,263.35,264.6,258.5,260.6,1596134
2015-06-30 00:00:00+05:30,260.5,261.64,255.0,260.7,2917580
2015-07-01 00:00:00+05:30,261.1,266.5,259.0,263.8,2511965
2015-07-02 00:00:00+05:30,268.0,268.0,259.0,260.05,1018260
2015-07-03 00:00:00+05:30,260.1,261.39,257.35,259.85,1412872
2015-07-06 00:00:00+05:30,256.0,257.0,251.25,254.9,1994335
2015-07-07 00:00:00+05:30,255.9,258.6,252.0,252.45,3442553
2015-07-08 00:00:00+05:30,250.45,250.45,237.0,239.45,3496396
2015-07-09 00:00:00+05:30,239.0,239.9,233.55,234.4,3186109
2015-07-10 00:00:00+05:30,238.1,240.7,236.3,238.55,2034432
2015-07-13 00:00:00+05:30,239.5,246.65,235.65,241.75,1770086
2015-07-14 00:00:00+05:30,243.0,243.5,228.05,232.1,2495603
2015-07-15 00:00:00+05:30,232.6,241.0,232.1,240.5,3075160
2015-07-16 00:00:00+05:30,242.0,242.9,235.55,236.25,2817212
2015-07-17 00:00:00+05:30,237.05,239.95,233.8,238.2,4270553
2015-07-20 00:00:00+05:30,240.05,240.3,233.25,234.9,2115767
2015-07-21 00:00:00+05:30,235.0,238.9,232.95,234.2,2725386
2015-07-22 00:00:00+05:30,233.0,241.0,233.0,240.0,2769141
2015-07-23 00:00:00+05:30,240.4,256.39,238.75,254.5,5514931
2015-07-24 00:00:00+05:30,255.2,256.95,245.0,245.55,3177332
2015-07-27 00:00:00+05:30,245.4,246.3,237.1,238.4,2362429
2015-07-28 00:00:00+05:30,239.4,240.5,233.5,237.0,2236053
2015-07-29 00:00:00+05:30,238.4,244.0,238.4,241.85,2047040
2015-07-30 00:00:00+05:30,244.35,251.0,243.5,249.8,2983781
2015-07-31 00:00:00+05:30,251.0,262.8,249.65,260.05,3252614
2015-08-03 00:00:00+05:30,261.0,265.3,257.35,261.85,3658864
2015-08-04 00:00:00+05:30,261.5,262.8,254.9,260.8,4053354
2015-08-05 00:00:00+05:30,262.0,268.0,259.0,260.35,2580186
2015-08-06 00:00:00+05:30,260.55,266.0,257.0,263.7,3372060
2015-08-07 00:00:00+05:30,265.5,272.45,264.0,267.85,4959082
2015-08-10 00:00:00+05:30,262.2,272.7,261.89,264.35,3235634
2015-08-11 00:00:00+05:30,264.95,266.0,248.9,249.95,4491491
2015-08-12 00:00:00+05:30,249.1,249.1,237.25,239.0,4200677
2015-08-13 00:00:00+05:30,241.2,244.95,231.1,235.25,3000003
2015-08-14 00:00:00+05:30,240.25,247.4,234.5,244.8,1969422
2015-08-17 00:00:00+05:30,244.65,246.0,236.1,240.2,2175051
2015-08-18 00:00:00+05:30,241.85,247.5,241.5,243.55,1736661
2015-08-19 00:00:00+05:30,243.65,250.4,240.55,247.9,2724217
2015-08-20 00:00:00+05:30,247.55,247.55,240.2,243.1,2325185
2015-08-21 00:00:00+05:30,238.0,239.25,234.6,237.3,2078211
2015-08-24 00:00:00+05:30,226.4,231.7,213.65,219.25,6086105
2015-08-25 00:00:00+05:30,222.75,225.9,205.5,222.45,6621089
2015-08-26 00:00:00+05:30,225.0,233.0,217.4,226.1,4307662
2015-08-27 00:00:00+05:30,233.95,242.7,226.9,240.65,4746030
2015-08-28 00:00:00+05:30,243.1,247.55,239.7,245.5,2734828
2015-08-31 00:00:00+05:30,243.1,247.5,236.25,237.75,1888682
2015-09-01 00:00:00+05:30,232.7,232.8,222.0,223.4,3315841
2015-09-02 00:00:00+05:30,224.0,226.65,218.55,220.3,2198232
2015-09-03 00:00:00+05:30,223.0,245.7,223.0,234.95,4868284
2015-09-04 00:00:00+05:30,233.75,233.75,221.1,223.8,3606590
2015-09-07 00:00:00+05:30,227.7,232.4,222.15,223.4,2371300
2015-09-08 00:00:00+05:30,226.4,236.2,219.45,235.05,2941220
2015-09-09 00:00:00+05:30,239.5,245.45,235.25,239.45,2483798
