Timestamp,Symbol,Open,High,Low,Close,Volume,atr,sma,top2,top1,bott1,bott2,sell_arrow,buy_arrow,pnl
2023-07-11 11:25:00,ICICIBANK,950.35,950.65,949.05,949.6,149334,1.6000000000000227,,,,,,,,
2023-07-11 11:30:00,ICICIBANK,949.6,950.5,949.5,950.2,410434,1.4800000000000182,,,,,,,,
2023-07-11 11:35:00,ICICIBANK,950.2,950.25,949.05,949.5,250496,1.4240000000000237,,,,,,,,
2023-07-11 11:40:00,ICICIBANK,949.9,951.35,949.65,951.0,235275,1.5092000000000236,,,,,,,,
2023-07-11 11:45:00,ICICIBANK,951.0,951.4,950.5,950.85,91579,1.3873600000000146,,,,,,,,
2023-07-11 11:50:00,ICICIBANK,950.9,951.85,950.4,950.6,192017,1.399888000000021,,,,,,,,
2023-07-11 11:55:00,ICICIBANK,950.45,951.2,949.95,950.1,180782,1.3699104000000168,,,,,,,,
2023-07-11 12:00:00,ICICIBANK,950.1,951.05,949.9,950.95,65025,1.3259283200000092,,,,,,,,
2023-07-11 12:05:00,ICICIBANK,950.9,951.1,950.3,950.4,86327,1.220742656000021,,,,,,,,
2023-07-11 12:10:00,ICICIBANK,950.35,950.4,949.1,949.3,128538,1.2365941248000079,,,,,,,,
2023-07-11 12:15:00,ICICIBANK,949.25,949.4,948.6,949.25,86089,1.149275299839997,,,,,,,,
2023-07-11 12:20:00,ICICIBANK,949.0,950.0,949.0,949.85,56241,1.1194202398719977,,,,,,,,
2023-07-11 12:25:00,ICICIBANK,949.5,950.1,949.35,949.4,68414,1.045536191897598,,,,,,,,
2023-07-11 12:30:00,ICICIBANK,949.5,949.5,947.25,947.45,179091,1.2864289535180784,,,,,,,,
2023-07-11 12:35:00,ICICIBANK,947.6,948.85,947.45,948.3,161168,1.309143162814458,,,,,,,,
2023-07-11 12:40:00,ICICIBANK,948.25,948.45,947.6,948.35,87694,1.217314530251571,,,,,,,,
2023-07-11 12:45:00,ICICIBANK,948.25,948.8,948.05,948.45,75765,1.123851624201257,,,,,,,,
2023-07-11 12:50:00,ICICIBANK,948.45,949.2,948.45,948.55,97713,1.0490812993610057,,,,,,,,
2023-07-11 12:55:00,ICICIBANK,948.55,949.1,947.9,949.0,136777,1.0792650394888137,,,,,,,,
2023-07-11 13:00:00,ICICIBANK,949.0,949.2,948.4,949.1,44502,1.0234120315910646,949.51,952.1892926987053,951.1658806671144,947.8541193328856,946.8307073012946,,,
2023-07-11 13:05:00,ICICIBANK,949.1,949.2,948.7,949.0,57095,0.9187296252728517,949.4800000000001,951.8852341589644,950.9665045336916,947.9934954663087,947.0747658410359,,,
2023-07-11 13:10:00,ICICIBANK,948.95,949.85,948.95,949.05,84581,0.9149837002182769,949.4225,951.8179273271714,950.9029436269532,947.9420563730469,947.0270726728286,,,
2023-07-11 13:15:00,ICICIBANK,949.25,949.5,949.0,949.3,76862,0.8319869601746216,949.4125,951.5906418617371,950.7586549015625,948.0663450984375,947.2343581382629,,,
2023-07-11 13:20:00,ICICIBANK,949.25,949.75,948.95,949.3,94118,0.8255895681396882,949.3275,951.4888934893897,950.66330392125,947.99169607875,947.1661065106102,,,
2023-07-11 13:25:00,ICICIBANK,949.4,949.6,947.55,947.85,285177,1.0704716545117643,949.1775,951.9799947915118,950.9095231370001,947.445476863,946.3750052084882,,,
2023-07-11 13:30:00,ICICIBANK,947.8,948.55,947.4,947.9,322693,1.086377323609407,949.0424999999999,951.8866358332093,950.8002585095999,947.2847414903999,946.1983641667905,,,
2023-07-11 13:35:00,ICICIBANK,947.9,948.8,947.6,948.45,140510,1.1091018588875121,948.96,951.8636286665676,950.75452680768,947.1654731923201,946.0563713334325,,,
2023-07-11 13:40:00,ICICIBANK,948.45,948.9,946.75,947.25,327129,1.3172814871100051,948.775,952.2236429332539,950.9063614461439,946.643638553856,945.326357066746,,,
2023-07-11 13:45:00,ICICIBANK,947.1,948.7,947.05,948.05,274629,1.3838251896880225,948.6574999999999,952.2803543466032,950.8965291569151,946.4184708430847,945.0346456533966,,,
2023-07-11 13:50:00,ICICIBANK,947.95,948.4,945.95,946.0,447996,1.5970601517504044,948.4925,952.6736034772825,951.0765433255322,945.9084566744677,944.3113965227174,,,
2023-07-11 13:55:00,ICICIBANK,946.05,947.4,946.0,946.65,79428,1.557648121400319,948.3625,952.440422781826,950.8827746604256,945.8422253395743,944.2845772181739,,,
2023-07-11 14:00:00,ICICIBANK,946.85,948.6,946.75,947.65,354534,1.6361184971202642,948.2525000000002,952.535858225461,950.8997397283407,945.6052602716596,943.9691417745394,,,
2023-07-11 14:05:00,ICICIBANK,947.25,947.55,945.2,945.55,350428,1.7788947976961933,948.0600000000001,952.7171465803686,950.9382517826725,945.1817482173276,943.4028534196315,,,
2023-07-11 14:10:00,ICICIBANK,945.5,946.25,945.2,945.5,176099,1.6331158381569455,947.9625,952.2379972642949,950.6048814261379,945.320118573862,943.687002735705,,,
2023-07-11 14:15:00,ICICIBANK,944.95,945.5,943.35,944.35,346146,1.736492670525552,947.765,952.3111378114359,950.5746451409103,944.9553548590897,943.2188621885641,,,
2023-07-11 14:20:00,ICICIBANK,944.4,946.45,943.75,946.35,329587,1.9291941364204508,947.6650000000002,952.715630249149,950.7864361127284,944.543563887272,942.6143697508514,,,
2023-07-11 14:25:00,ICICIBANK,945.9,946.95,945.55,946.85,347868,1.823355309136379,947.585,952.3585441993191,950.5351888901827,944.6348111098174,942.811455800681,,,
2023-07-11 14:30:00,ICICIBANK,946.85,947.85,946.4,946.55,200540,1.7486842473091124,947.485,952.0630553594552,950.3143711121462,944.6556288878538,942.9069446405448,,,
2023-07-11 14:35:00,ICICIBANK,946.6,947.0,945.95,946.5,136099,1.6089473978472808,947.36,951.5722242875642,949.9632768897169,944.7567231102831,943.1477757124359,,,
2023-07-11 14:40:00,ICICIBANK,946.5,947.75,945.8,946.3,548686,1.677157918277834,947.2199999999999,951.6107994300513,949.9336415117734,944.5063584882264,942.8292005699485,,,
2023-07-11 14:45:00,ICICIBANK,946.05,948.05,945.75,948.05,735684,1.801726334622258,947.1725,951.8894195440411,950.0876932094188,944.2573067905812,942.455580455959,,,
2023-07-11 14:50:00,ICICIBANK,948.15,948.8,947.7,948.25,310263,1.6613810676977883,947.1325,951.4819956352328,949.820614567535,944.4443854324651,942.7830043647673,,,
2023-07-11 14:55:00,ICICIBANK,948.2,948.3,946.45,946.95,393688,1.6991048541582126,947.015,951.4632565081862,949.764151654028,944.265848345972,942.5667434918138,,,
2023-07-11 15:00:00,ICICIBANK,946.95,947.5,944.8,945.25,355799,1.8992838833265793,946.8125,951.7848252065489,949.8855413232224,943.7394586767776,941.8401747934511,,,
2023-07-11 15:05:00,ICICIBANK,945.25,945.9,942.55,943.05,495762,2.189427106661268,946.5725,952.3044201652392,950.114993058578,943.030006941422,940.8405798347608,,,
2023-07-11 15:10:00,ICICIBANK,943.05,943.8,942.1,942.85,397321,2.091541685329001,946.32,951.7956561321914,949.7041144468624,942.9358855531377,940.8443438678087,,,
2023-07-11 15:15:00,ICICIBANK,942.85,947.1,942.6,947.05,549150,2.573233348263201,946.25,952.986724905753,950.4134915574898,942.0865084425102,939.513275094247,,,
2023-07-11 15:20:00,ICICIBANK,947.05,947.15,945.55,945.8,342905,2.378586678610566,946.1775,952.4046399246025,950.0260532459919,942.3289467540081,939.9503600753975,,,
2023-07-11 15:25:00,ICICIBANK,945.75,945.95,945.2,945.9,315899,2.0528693428884526,946.07,951.444411939682,949.3915425967936,942.7484574032065,940.6955880603181,,,
2023-07-12 09:15:00,ICICIBANK,948.4,951.15,948.05,949.9,427915,2.692295474310762,946.2650000000001,953.3134295517457,950.6211340774349,941.9088659225653,939.2165704482545,,,
2023-07-12 09:20:00,ICICIBANK,949.85,949.85,947.1,947.75,205969,2.7038363794486093,946.32,953.3986436413965,950.6948072619479,941.9451927380522,939.2413563586036,,,
2023-07-12 09:25:00,ICICIBANK,947.95,948.7,946.85,947.7,197813,2.533069103558892,946.3224999999999,952.9540749131171,950.4210058095582,942.2239941904415,939.6909250868827,,,
2023-07-12 09:30:00,ICICIBANK,947.8,948.55,946.35,948.25,205689,2.4664552828471002,946.4574999999999,952.9146799304935,950.4482246476465,942.4667753523532,940.0003200695062,,,
2023-07-12 09:35:00,ICICIBANK,948.2,948.65,946.5,948.65,243150,2.403164226277676,946.615,952.906483944395,950.5033197181173,942.7266802818828,940.3235160556051,,,
